AWB,OPER,TIME_STAMP,STATUS,ISSUE_CODE,FLIGHT_NUMBER,FLIGHT_DATE,ORIGIN,DEST,SEQ
00110563,PTOLEDO,2025-10-27 15:08,EXP,ADD,,,NLU,VVI,18329477
00099444,PTOLEDO,2025-10-27 15:05,EXP,ADD,,,NLU,BOG,18329437
00110655,PTOLEDO,2025-10-27 15:00,EXP,ADD,,,NLU,BOG,18329369
00110320,PTOLEDO,2025-10-27 14:57,EXP,ADD,,,NLU,BOG,18329331
00110644,PTOLEDO,2025-10-27 14:56,EXP,ADD,,,NLU,BOG,18329274
00110316,PTOLEDO,2025-10-27 14:54,EXP,ADD,,,NLU,BOG,18329262
00099352,PTOLEDO,2025-10-27 14:52,EXP,ADD,,,NLU,BOG,18329247
00099422,PTOLEDO,2025-10-24 15:26,EXP,ADD,,,NLU,BOG,18291432
00090532,PTOLEDO,2025-10-24 15:24,EXP,ADD,,,NLU,BOG,18291409
00110541,PTOLEDO,2025-10-23 18:59,EXP,ADD,,,NLU,BOG,18274827
00098464,PTOLEDO,2025-10-23 18:39,EXP,ADD,,,NLU,BOG,18274613
00110600,PTOLEDO,2025-10-23 18:37,EXP,ADD,,,NLU,BOG,18274604
00110633,PTOLEDO,2025-10-23 18:35,EXP,ADD,,,NLU,BOG,18274564
00110585,PTOLEDO,2025-10-23 18:30,EXP,ADD,,,NLU,BOG,18274434
00110596,PTOLEDO,2025-10-23 18:05,EXP,ADD,,,NLU,CCS,18274225
00099536,PTOLEDO,2025-10-23 17:52,EXP,ADD,,,NLU,CCS,18274068
00099083,YMEDINA,2025-10-21 00:27,KK ,BKD,901,2025-10-21,CGO,PVG,18222417
00099083,YMEDINA,2025-10-21 00:27,EXP,ADD,,,NLU,PVG,18222417
00099083,YMEDINA,2025-10-21 00:34,KK ,BKD,901,2025-10-21,CGO,PVG,18222417
00099083,YMEDINA,2025-10-21 00:34,KK ,BKD,901,2025-10-21,ANC,CGO,18222417
00099083,YMEDINA,2025-10-21 00:34,KK ,BKD,901,2025-10-21,NLU,ANC,18222417
00099083,YMEDINA,2025-10-21 00:27,KK ,BKD,901,2025-10-21,ANC,CGO,18222417
00099083,YMEDINA,2025-10-21 00:27,KK ,BKD,901,2025-10-21,NLU,ANC,18222417
00094113,YMEDINA,2025-10-21 00:37,KK ,BKD,901,2025-10-21,NLU,ANC,18165345
00098980,YMEDINA,2025-10-21 00:36,KK ,BKD,901,2025-10-21,NLU,ANC,18164884
